en	de
appreciated	geschätzt
specify	angeben
population	bevölkerung
11	11
10	10
13	13
12	12
15	15
unfortunately	leider
sailing	segeln
accordance	übereinstimmung
19	19
18	18
require	erfordern
diplomatic	diplomatischen
transferred	übertragen
protected	geschützt
venture	wagen
were	waren
cards	karten
outcome	ausgang
russia	russland
browser	browser
and	und
mountain	berg
addressing	wende
register	registrieren
san	san
investors	investoren
remained	blieb
acknowledged	anerkannt
topics	themen
greece	griechenland
turned	verwandelt
argument	argument
deutsche	deutsche
prestigious	renommierten
say	sagen
rent	vermieten
breakfast	frühstück
occupied	besetzten
any	irgendwelche
invite	einladen
prosperity	wohlstand
conversion	umwandlung
form	form
able	imstande
greek	griechische
efficient	effizienten
plenary	plenarsitzung
manufacturers	herstellern
aside	abgesehen
malta	malta
kilometres	kilometern
note	note
sciences	wissenschaften
emphasis	betonung
18th	18.
take	ergreifen
repeatedly	wiederholt
online	online
interior	interieur
performance	performance
operated	betrieben
encouraged	ermutigt
relaxed	entspannt
channel	kanal
200	200
begin	beginnen
sure	sicher
pain	schmerz
theatre	theater
opposite	gegenteil
track	übersicht
dispute	streit
price	preisstabilität
knew	wusste
clearer	klarer
buffet	buffet
falls	fällt
visitors	besuchern
importantly	wichtiger
printed	gedruckt
sheets	bettwäsche
remarks	bemerkungen
undertakings	zusagen
america	amerika
pages	seiten
authorised	genehmigt
icon	symbol
peninsula	halbinsel
operate	agieren
especially	insbesondere
surprising	überraschend
room	zimmerbeschreibung
considered	because
average	durchschnittlichen
later	später
implications	tragweite
drive	drive
mrs	kollegin
managing	geschäftsführer
trafficking	menschenhandels
nuclear	nukleare
professional	professionelle
senior	führungskräfte
salt	salz
quantity	menge
shop	shop
rating	bewertung
walking	walking
shot	schlag
show	show
german	deutscher
workshops	workshops
pursuant	gemäß
accession	beitritts
representatives	vertretern
discovered	entdeckte
hopes	hofft
bright	helle
spaces	nichtraucherzonen
mountains	berge
threshold	schwelle
corner	ecke
superb	hervorragendes
fifth	fünften
ground	erdgeschoss
colours	farben
slow	langsam
ratio	verhältnis
agreements	vereinbarungen
gulf	golf
title	titel
proportion	anteil
behind	hinter
crime	kriminalität
only	einzige
explicitly	explizit
black	schwarz
equipped	ausgerüstet
wooden	holz
watching	beobachten
awareness	bewusstsein
centrally	zentral
directed	gerichtet
correctly	korrekt
hungarian	ungarische
get	benachrichtigt
contracts	verträge
jazz	jazz
designated	ausgewiesen
employers	arbeitgeber
affecting	beeinträchtigen
cannot	read
negative	negativen
conjunction	verbindung
enjoys	genießt
celebrate	feiern
secondary	zweiter
prime	ministerpräsident
shuttle	shuttle
regarding	bezüglich
resource	ressource
smoking	rauchen
artist	künstler
leather	leder
thermal	temperatur
morning	vormittag
miles	meilen
liable	haftet
where	wo
worrying	besorgnis
vision	vision
bulgaria	bulgarien
excursions	ausflüge
ignored	ignoriert
declared	erklärten
crossborder	grenzüberschreitenden
concert	konzert
imposing	auferlegt
signs	anzeichen
ends	endet
seat	sitz
relative	relativ
elected	gewählte
namely	nämlich
actively	aktiv
college	college
parking	parkplätze
calendar	kalender
sport	sport
europeans	europäern
harmonised	harmonisieren
fails	versäumt
voluntary	freiwillige
camping	camping
tackling	bewältigung
federal	federal
subsequent	nachfolgenden
review	überprüfung
opening	eröffnung
sites	sites
label	label
weapons	waffen
enough	genug
bureau	präsidium
environmentally	umweltfreundliche
between	zwischen
it	it
import	importieren
justified	gerechtfertigt
reading	lesung
across	quer
affordable	preis-leistungs-verhältnis
notice	ankündigung
infrastructure	infrastruktur
jobs	arbeitsplätze
august	august
corresponding	entsprechenden
legitimacy	legitimität
screen	bildschirm
26	26
uptodate	aktuellen
concentrate	konzentrieren
awards	awards
implemented	implementiert
article	artikels
cities	städte
come	come
undermine	untergraben
concentrated	konzentriert
guitar	songs
dates	termine
installation	installation
missions	einsätze
libya	libyen
implementing	implementierung
residence	residence
safeguard	schutzmaßnahmen
according	zufolge
contract	vertrages
enabling	versetzen
tour	tour
item	nächster
spare	freizeit
railway	eisenbahn
expression	meinungsäußerung
comes	stammt
nearby	gelegenen
duty	pflicht
among	anderem
afterwards	anschließend
cancer	krebs
150	150
effective	effektive
mandate	mandat
por	por
period	periode
insist	bestehen
auditors	rechnungshofs
60	60
twin	twin
strengthening	stärkung
65	65
learning	erlernen
losses	verluste
cancel	stornierung
moreover	überdies
writing	schriftlich
eads	eads
boat	boot
login	anmelden
considering	bedenkt
sensible	vernünftige
combines	kombiniert
cycling	fahrrad
grand	grand
capable	fähig
west	westens
classic	classic
informed	informiert
airlines	airlines
mark	mark
tropical	tropischen
workshop	workshop
red	rot
combined	kombiniert
peaceful	friedliche
linguistic	sprachen
borders	außengrenzen
hardly	kaum
500	500
followup	come
wonderful	wunderbare
direction	richtung
citizenship	unionsbürgerschaft
shopping	einkaufsmöglichkeiten
reaction	reaktion
blame	schuld
offered	angebotenen
formed	gebildet
block	block
reaching	erreichung
observers	beobachter
photos	fotos
observe	beobachten
wake	zuge
minister	ministerin
declaration	erklärung
careful	sorgfältige
spirit	geiste
those	diejenigen
pilot	piloten
case	fall
specialised	spezialisierte
myself	selber
casa	casa
limits	grenzwerte
developing	entwicklungsländern
amend	ändern
mount	monte
cash	liquidität
profiles	profile
cast	geworfen
diverse	vielfältig
ongoing	laufende
policies	politiken
many	viele
cancelled	stornierungen
exist	existieren
shops	geschäften
converted	umgewandelt
region	region
ein	here
aluminium	aluminium
bathrooms	bäder
orientation	orientierung
conferences	konferenzen
then	schaffen,/i
determination	entschlossenheit
soil	böden
engaged	engagiert
coffee	kaffee
deficits	defizite
middle	nahen
default	standardmäßig
pressing	drücken
minds	köpfe
property	eigentum
technology	technologie
everyday	alltag
worry	sorge
tourist	touristische
different	unterschiedliche
develop	entwickeln
author	autor
artists	künstlern
pay	bezahlen
granted	gewährt
s	s
same	gleichen
surveillance	überwachung
gentlemen	herren
html	html
speech	redebeitrag
arguments	argumente
regime	regime
bring	herbeizuführen
events	ereignisse
meaningfully	schlusselwort
status	status
finish	beenden
centuries	jahrhunderte
knowhow	know-how
assist	behilflich
driver	treiber
drives	treibt
producers	erzeuger
persons	personen
newspaper	zeitung
fruit	obst
driven	getrieben
delicate	sensible
changing	ändert
totally	völlig
tradition	tradition
renewable	erneuerbare
costa	costa
modes	verkehrsmittel
largely	weitgehend
charges	gebühren
no	nein
constitutional	konstitutionelle
roughly	grob
severe	schweren
costs	kostet
solve	lösen
relief	erleichterung
components	komponenten
trains	züge
coordinate	koordinieren
model	modells
grounds	messegelände
dimension	dimension
researchers	forscher
charged	zahlt
gdp	bip
summer	sommer
outdoor	außenpool
pakistan	pakistan
being	wesen
money	geldes
guided	führungen
sights	sehenswürdigkeiten
rest	rest
ngos	nro
foot	fuße
violent	gewalt
showed	zeigten
aspect	aspekt
touch	touch
polish	polnische
speed	speed
underline	unterstreichen
weekly	wöchentlich
announcement	ankündigung
renewed	erneuert
budgetary	haushaltsbehörde
euros	euros
thinking	denken
rental	autovermietung
seems	scheint
except	ausnahme
improvement	verbesserung
blog	blog
instrument	instrument
lets	lässt
orchestra	orchester
4	4
overview	überblick
constant	ständige
republic	republik
extensive	umfangreichen
bread	brot
kingdom	königreich
drink	getränk
aspects	aspekte
around	herum
spectacular	spektakuläre
easily	leicht
read	gelesen
papers	zeitungen
dark	dunklen
inflation	inflation
traffic	verkehrs
listening	zuhören
world	welt
accepted	akzeptiert
disappointed	enttäuscht
furniture	möbel
meaning	sinn
satisfaction	zufriedenheit
achieve	erreichung
photographs	fotografien
suppliers	lieferanten
japan	japan
maintained	aufrechterhalten
serves	dient
server	server
facing	konfrontiert
chamber	plenarsaal
audience	publikum
grants	gewährt
t	t
always	stets
resolved	gelöst
output	ausgabe
tower	turm
revision	revision
reduced	reduziert
fulfil	erfüllen
twelve	zwölf
satisfactory	zufriedenstellend
apartments	apartments
madrid	madrid
lebanon	libanon
competition	wettbewerbs
supplementary	zusätzlichen
calculated	berechnet
resorts	ortschaften
specified	angegebene
images	images
diving	tauchen
treatments	behandlungen
bigger	größer
competences	zuständigkeiten
provided	vorausgesetzt
dimensions	dimensionen
windows	windows
confirm	bestätigen
sudan	sudan
tube	u-bahn
recorded	verzeichnet
stops	stationen
conservative	konservativen
deserve	verdienen
zimbabwe	simbabwe
critical	kritische
exit	ausfahrt
deficit	defizit
provides	liefert
provider	provider
happened	geschah
moderate	mittlerer
decent	angemessenen
refer	beziehe
measuring	messung
turkey	türkei
football	fußball
assembly	versammlung
scientific	wissenschaftliche
business	business
seconds	sekunden
sixth	sechsten
equivalent	entspricht
each	jedes
communicate	kommunizieren
unusual	ungewöhnlich
notably	namentlich
broken	unterteilt
meets	erfüllt
leadership	führung
alps	alpen
references	referenzen
authorisation	genehmigung
thailand	thailand
refers	verweist
guides	führer
throw	werfen
beaches	strände
manufacturer	hersteller
comparison	vergleich
stone	stein
ok	ok
stations	stationen
of	mangelnden
industry	industrie
violence	gewalt
discussed	besprochen
develops	entwickelt
side	side
practical	praktische
convenient	bequeme
acp	akp-staaten
stand	stehe
act	act
mixed	gemischten
mean	bedeuten
os	os
or	oder
road	straßenverkehr
ladies	damen
effectively	effektiv
burning	brennen
inclusion	eingliederung
communication	mitteilung
image	image
vacation	urlaub
authorities	behörden
secure	sichere
rising	steigende
lively	lebendigen
determine	bestimmen
parties	parteien
operator	betreiber
adobe	adobe
lastly	schließlich
nowadays	heutzutage
your	deine
intervention	intervention
pharmaceutical	arzneimittel
log	anmelden
prepare	vorzubereiten
area	euroraum
removing	beseitigung
strictly	strikt
there	gibt
racism	rassismus
sides	seiten
strict	strikte
low	niedrige
lot	lot
labelling	etikettierung
cultures	kulturen
decisive	entscheidenden
valley	tal
materials	materialien
intends	beabsichtigt
gain	erlangen
shower	dusche
complete	komplettes
regard	betrachte
tailored	zugeschnitten
amongst	anderem
sophisticated	anspruchsvolle
e	e
technologies	technologies
promote	fördern
with	mit
featuring	szenen
buying	kauf
longer	länger
shortterm	kurzfristige
hire	mieten
october	oktober
applying	anzuwenden
romantic	romantische
embedded	eingebettet
salzburg	salzburg
objective	objektiven
vice	president
adequate	angemessene
local	lokaler
emissions	emissionen
reflection	überlegung
politically	politisch
agree	einverstanden
regimes	regimes
strongly	nachdrücklich
wants	wünscht
vehicles	fahrzeugen
ad	ad
ag	ag
cinema	kino
taste	geschmack
certain	bestimmte
describe	beschreiben
am	bin
sales	umsatz
deep	tiefen
general	allgemeinem
alarm	erinnerung
britain	großbritanniens
reliability	zuverlässigkeit
governed	regiert
file	datei
cathedral	kathedrale
politics	politik
moves	bewegt
kinds	arten
film	film
fill	füllen
cohesion	zusammenhalts
amendments	änderungsanträge
consensus	konsens
ideally	ideal
credibility	glaubwürdigkeit
drivers	treiber
storage	lagerung
2000	2000
vocational	berufliche
insurance	versicherung
rubber	hinten
field	feld
neighbouring	benachbarten
5	5
lifestyle	lebensweise
you	du
thousand	tausend
2007	2007
poor	armen
suites	suites
briefly	kurz
championship	course
games	games
congress	kongress
separate	separaten
students	studenten
translated	übersetzt
symbol	symbol
contextually	kontextuell
m	m²
includes	einschließt
hardware	hardware
important	wichtig
peak	höhepunkt
suited	geeignet
realised	realisiert
tackle	anzugehen
decorated	geschmackvoll
stocks	bestände
unless	sofern
pool	pool
legal	legale
fiscal	steuerlichen
booked	gebucht
remote	entfernten
bilateral	bilateralen
calls	ruft
wife	frau
controlled	gesteuert
invest	investieren
wifi	wifi
contemporary	zeitgenössische
controller	controller
barcelona	barcelona
directors	vorstand
dramatic	dramatischen
u	u
restored	wiederhergestellt
configure	konfigurieren
god	gott
directory	verzeichnis
resolution	entschließung
original	ursprünglichen
external	externen
represent	repräsentieren
all	sämtlichen
surrounded	umgeben
consider	überlegen
chinese	chinesen
aids	aids
caused	verursachte
lack	mangelnden
concern	besorgnis
none	keines
month	monat
founded	gegründet
della	della
tours	touren
mp3	mp3
welfare	tierschutz
talks	gespräche
follow	befolgen
disk	festplatte
decisions	beschlüsse
children	kindern
causes	ursachen
equipment	ausrüstung
apartment	apartment
number	zahl
remarkable	bemerkenswerte
tv	tv
laid	festgelegten
opportunities	chancen
former	ehemaligen
to	um
program	program
highquality	hochwertiger
preserved	bewahrt
14	14
safety	lebensmittelsicherheit
enjoying	erfreuen
presentation	präsentation
barroso	barroso
activities	aktivitäten
belonging	zugehörigkeit
woman	weibliche
premium	premium
worse	schlimmer
returning	rückkehr
infringement	verstoß
checkin	it's
translations	übersetzungen
saved	gerettet
resistance	widerstand
me	mir
fan	fan
difficult	schwierige
decide	entscheiden
got	bekam
sony	sony
ticket	ticket
difference	differenz
condition	bedingung
madam	präsidentin
leads	führt
parliaments	parlamenten
cable	kabel
ageing	älter
arts	arts
list	liste
joined	beigetreten
large	großunternehmen
these	diesen
sand	sand
adjust	anpassen
plain	schlicht
small	klein-
biological	biologische
economically	wirtschaftlich
20th	20.
programme	programms
hoped	hofft
cookies	cookies
ten	zehn
exposed	ausgesetzt
tea	tee
penalties	strafen
streets	straßen
past	vergangenheit
zero	null
design	design
displays	zeigt
publicly	öffentlich
pass	pass
coverage	berichterstattung
further	weitere
functioning	funktionierenden
investment	investment
returned	zurückgegeben
toilet	toilette
will	wille
what	worum
defence	verteidigung
imported	importiert
consumers	verbrauchern
clock	uhr
investing	investieren
sun	sun
section	sektion
brief	kurze
version	version
sur	sur
scientists	wissenschaftlern
tribute	würdigen
racing	rennen
public	öffentliche
contrast	kontrast
movement	freizügigkeit
edited	zuletzt
full	volle
iran	iran
installations	installationen
modify	verändern
certainly	gewiss
answers	antworten
hours	stunden
combating	bekämpfung
tracks	spuren
operating	betriebssystem
relaxation	entspannung
directions	richtungen
method	methode
strong	starkes
respect	respektieren
tragedy	tragödie
arena	arena
speeches	reden
ahead	voraus
houses	häuser
inspired	inspiriert
compliance	einhaltung
allows	erlaubt
experience	erfahrung
optimal	optimale
prior	vorherige
amount	betrag
thursday	donnerstag
advertising	werbung
pick	aufgreifen
action	action
narrow	engen
options	optionen
struggle	kampfes
technique	technik
followed	gefolgt
family	familie
suddenly	plötzlich
requiring	erfordern
transit	verkehrsmitteln
imagine	vorstellen
africa	afrika
capital	kapital
texts	texten
aimed	abzielen
trained	ausgebildet
florence	florenz
select	auszuwählen
languages	sprachen
shareholders	aktionäre
eye	auge
proceed	fortfahren
answered	beantwortet
intense	intensiven
objectives	zielsetzungen
destination	ziel
single	single
two	zwei
governance	governance
damaged	beschädigt
captain	captain
almost	beinahe
amenities	annehmlichkeiten
6	6
taken	ergriffen
promoting	förderung
markets	märkte
achieving	erreichung
minor	kleinere
more	mehr
flat	wohnung
israel	israel
door	tür
knows	kennt
initiated	eingeleitet
definition	definition
canon	canon
regrettable	bedauerlich
emission	emissionen
putin	putin
telephone	telefon
tested	getestet
flag	flagge
controlling	kontrollieren
stick	festhalten
particular	besonderem
known	bekannt
foundations	grundlagen
fate	schicksal
producing	produzieren
sovereignty	souveränität
glad	froh
hostelsclub	hostelsclub
town	town
helped	geholfen
keeping	beibehaltung
debates	aussprachen
hour	stunde
recall	erinnere
der	kulturen
des	palais
installing	installation
debated	erörtert
paragraph	ziffer
del	del
dem	met
den	van
learn	lernen
strategies	strategien
male	male
broad	breiten
history	geschichte
beautiful	wunderschönen
compare	vergleichen
finland	finnland
stood	standen
challenging	anspruchsvollen
division	division
lives	menschenleben
longterm	langfristige
functions	funktionen
share	teilen
accept	akzeptieren
terrible	schreckliche
autumn	herbst
prodi	prodi
minimum	minimum
numbers	zahlen
purchased	gekauft
arise	auftauchen
phrase	schlusselphrase
species	arten
federation	föderation
concept	konzept
huge	riesigen
respective	jeweiligen
answer	beantworten
court	gerichtshofs
goal	ziels
rather	eher
plans	pläne
acts	rechtsakte
conducted	durchgeführte
ratified	ratifiziert
maps	karten
transfers	transfer
option	option
reject	ablehnen
iso	iso
movements	bewegungen
explains	erläutert
creature	kreatur
recording	erfassung
fr	fr
mysql	mysql
tried	versuchten
countryside	landschaft
advice	ratschläge
high	hohes
derived	leitet
internet	internets
reflect	widerspiegeln
panoramic	panoramablick
director	direktor
blood	blut
coming	kommenden
horizontal	liegende
authentic	echt
response	reaktion
fascinating	faszinierende
tourists	touristen
a	ein
refuse	verweigern
short	kurzen
documentation	dokumentation
departure	abreise
supervision	aufsicht
coal	kohle
wishes	wünscht
responsibility	verantwortung
fundamental	grundlegendes
media	medien
banks	banken
pleasure	vergnügen
incentive	anreiz
officials	beamten
dream	traum
playing	abspielen
help	helfen
september	september
essence	wesen
flowers	blumen
entries	einträge
soon	bald
für	hochschule
installed	installiert
disabled	behinderten
held	abgehalten
attitude	haltung
paper	papier
through	durchlaufen
committee	ausschuss
committed	begangen
existence	existenz
suffer	erleiden
its	seine
roots	wurzeln
islam	islam
24	24
25	25
style	stil
27	27
rapidly	rasch
21	21
22	22
23	23
c	c
sale	verkauf
28	28
29	29
actually	eigentlich
late	spät
resort	resort
absence	abwesenheit
parts	teile
systems	systeme
relate	entdeckst
cross	kreuz
argentina	argentinien
cool	frische
might	könnte
colleague	kollegin
whereby	wonach
good	guter
return	rückkehr
calm	beruhigen
than	anstatt
seeking	strebt
food	nahrungsmitteln
propose	vorzuschlagen
ye	werdet
primary	vorrangige
framework	rahmens
walls	mauern
communities	gemeinschaften
separately	separat
terrorism	terrorismus
association	association
instructions	anweisungen
restrict	einschränken
document	dokument
holiday	holiday
occasions	gelegenheiten
intervene	eingreifen
normally	normalerweise
capability	fähigkeit
courses	kurse
someone	jemanden
stopped	einhalt
experiencing	erleben
found	gefunden
front	front
ports	häfen
education	bildung
referred	verwiesen
heavy	schwere
week	woche
harm	schaden
everyone	jedermann
england	england
mental	geistige
weight	gewicht
generation	generation
posts	posten
fish	fisch
hard	harte
reduce	reduzieren
idea	idee
extended	ausgedehnt
expect	erwarte
undertake	verpflichten
measurement	messung
organised	organisierte
operation	operation
beyond	hinausgeht
event	ereignis
really	wirklich
stands	steht
initiatives	initiativen
lovers	liebhaber
funding	finanzierung
alcohol	alkohol
p	p.
robert	robert
since	seitdem
unknown	unbekannten
publish	veröffentlichen
research	forschung
participants	teilnehmern
conclusions	schlussfolgerungen
health	gesundheit
hill	hill
7	7
paradise	paradies
print	drucken
grew	wuchs
issue	themas
occurs	auftritt
highway	autobahn
regards	anbelangt
reporting	berichterstattung
belief	überzeugung
friday	freitag
horse	pferd
pleasant	angenehmen
extraordinary	außerordentlichen
reason	grund
base	rechtsgrundlage
styles	stil
conditioning	klimaanlage
members	mitgliedern
organising	organisieren
put	bringe
approach	ansatzes
sauna	sauna
beginning	anfang
generate	generieren
temperature	temperatur
allocation	vergabe
owners	eigentümer
benefits	vorteilen
service	dienstes
launch	start
computers	computern
published	veröffentlichten
running	laufen
american	american
w	w
leading	führende
consequence	konsequenz
syria	syrien
castle	burg
fallen	gesunken
partnerships	partnerschaften
feed	ernährung
logistics	logistik
major	major
simply	schlicht
prevent	verhindern
feel	fühle
radical	radikale
reflected	widerspiegeln
welcome	begrüße
feet	füßen
enlarged	erweiterten
revolution	revolution
done	getan
approximately	ungefähr
fees	gebühren
wages	löhne
miss	verpassen
causing	verursachen
stage	etappe
regret	bedauere
passes	fließt
story	geschichte
php	php
heads	staats-
guest	guest
guaranteeing	gewährleistung
script	skript
introduction	einführung
together	gemeinsam
financed	finanziert
least	wenigsten
belongs	angehört
regulation	verordnung
station	bahnhof
expand	erweitern
saint	saint
trails	wanderwege
rates	laterooms.
scheme	regelung
finances	finanzen
store	store
too	allzu
selling	verkauf
warmly	herzlich
passed	vergangen
relationship	beziehung
plaza	plaza
teacher	lehrer
hotel	hotel
park	park
immediate	sofortige
optical	optischen
modernisation	modernisierung
doctors	ärzte
focusing	konzentriert
translation	übersetzung
believe	glaube
convinced	überzeugt
obama	obama
king	könig
financing	finanzierung
hundred	hundert
iranian	iranischen
double	double
incorporate	integrieren
aims	zielt
ranging	angefangen
youth	jugend
i	ich
determined	entschlossen
2020	2020
supposed	angeblich
sole	ermessen
fishermen	fischer
toward	richtung
treated	behandelt
declare	erkläre
interactive	interaktiven
indonesia	indonesien
basically	grunde
outstanding	herausragenden
strengthen	stärken
imports	einfuhren
urgently	dringend
alongside	neben
organisations	organisationen
initially	anfangs
substantial	beträchtliche
contest	wettbewerbs
ambitious	ehrgeizig
my	meinem
concentration	konzentration
orders	bestellungen
vulnerable	anfällig
collapse	zusammenbruch
sell	verkaufen
defects	mängel
nights	nächte
para	para
depending	je
check	verfügbarkeit
self	selbst
scotland	schottland
officers	beamten
targets	zielvorgaben
walk	spaziergang
majority	mehrheit
articles	artikeln
without	ohne
directives	richtlinien
build	bauen
finding	feststellung
contractual	vertragspartner
gym	fitnessraum
province	provinz
play	spielen
added	hinzugefügt
electric	elektrischen
knowing	wusste
afghanistan	afghanistan
quote	zitiere
victim	opfer
sets	festlegt
reach	reach
quota	quoten
react	reagieren
anniversary	jahrestag
75	75
charm	charme
negotiating	verhandeln
significant	bedeutende
70	70
services	dienstleistungen
accepting	akzeptieren
measured	gemessen
approved	genehmigt
achievement	erreichung
appear	erscheinen
constructed	gebaut
directive	richtlinie
bug	fehler
mobile	mobile
performances	leistungen
clear	klare
sometimes	manchmal
doubts	zweifel
km	km
traditional	traditionellen
part	teil
organise	organisieren
bodies	gremien
clean	sauberen
justify	rechtfertigen
microsoft	microsoft
joining	beitreten
science	wissenschaft
taxi	taxi
thomas	thomas
particularly	besonders
phenomenon	phänomen
gold	gold
kosovo	kosovo
obligations	pflichten
consult	konsultieren
favour	gunsten
session	sitzungsperiode
relation	verhältnis
freight	güter
multilateral	multilaterale
stores	speichert
fine	feinen
find	finde
occupation	besetzung
impact	auswirkung
access	zugangs
giant	riesige
copyright	copyright
consistently	konsequent
justice	gerechtigkeit
heavily	stark
distributed	verteilt
waiting	wartet
ball	ball
penalty	todesstrafe
failed	gescheitert
flights	flüge
pretty	hübschen
factor	faktor
8	8
circle	kreis
proximity	nähe
tyrol	südtirol
his	seinem
hit	getroffen
rose	rose
permission	erlaubnis
dependent	abhängig
connections	verbindungen
express	express
sunny	sonnigen
kind	art
trees	bäume
cheaper	billiger
famous	berühmten
feels	fühlt
courage	mut
valuable	wertvolle
closely	eng
shared	geteilt
during	während
him	ihm
contextual	kontextuellen
pdf	pdf
enemy	feind
budapest	budapest
resolve	lösen
keyword	schlusselwortern
transitional	vorübergehend
sources	quellen
medicines	arzneimitteln
generally	generell
remove	entfernen
banking	banken
investigate	untersuchen
interim	zwischenzeit
croatia	kroatien
common	gemeinsamen
withdrawal	rückzug
switzerland	schweiz
x	x
river	flusses
wrote	schrieb
restaurants	restaurants
characteristics	merkmale
scenery	landschaft
bars	bars
set	set
art	kunst
opposed	lehnen
supporting	unterstützen
principal	hauptziel
intelligence	intelligenz
prague	prag
enjoyed	genossen
sex	sex
culture	kultur
see	größeres
individual	individueller
migration	migration
sea	meeres
lisbon	lissabonner
close	enge
forthcoming	bevorstehenden
labour	arbeitsmarktes
pacific	ozean
project	projekts
evaluation	evaluierung
learnt	gelernt
stance	haltung
expert	experten
visiting	besuch
movie	film
currently	zurzeit
electoral	wahlkampf
heading	rubrik
unions	gewerkschaften
won	gewann
various	verschiedenen
affairs	angelegenheiten
contrary	gegenteil
moving	bewegt
firmly	festen
numerous	zahlreichen
corruption	korruption
wide	breites
europe	europa
latin	lateinamerika
recently	kürzlich
historical	historische
missing	fehlenden
targeted	gezielte
sold	verkauft
attention	aufmerksamkeit
aircraft	flugzeugen
death	tod
accessible	zugänglich
opposition	opposition
competent	kompetenten
electrical	elektrische
remaining	verbleibenden
both	beide
prospects	aussichten
enables	immo
last	last
reverse	rückgängig
license	lizenz
appropriations	haushaltsmittel
solely	ausschließlich
annual	jährlichen
foreign	außen-
sensitive	sensiblen
connection	internetanschluss
became	geworden
n	n
forgotten	vergessen
let	lasst
approve	billigen
finds	findet
millions	millionen
liked	gewünscht
licence	lizenz
luxurious	luxuriösen
mini	mini
reasons	gründe
sweet	feine
das	much
recycling	verwertung
harbour	harbour
regulated	geregelt
adaptation	anpassung
linux	linux
openness	offenheit
desktop	desktop
mission	mission
expensive	teurer
decline	niedergang
ensures	sichert
java	java
publishing	verlag
pt	pt
arrest	haftbefehl
monthly	monat
create	schaffen
acceptance	akzeptanz
creativity	kreativität
due	ratschlag
strategy	strategie
pc	pc
secret	geheimen
describes	beschreibt
complicated	kompliziert
ensured	sichergestellt
ireland	irland
collected	gesammelt
adoption	verabschiedung
territory	hoheitsgebiet
meeting	konferenz-
pl	pl
treatment	behandlung
firm	feste
dialogue	dialogs
lived	gelebt
flight	flug
gay	gay
passengers	fluggäste
fire	feuer
ages	mittelalter
gas	gas
precision	präzision
new	neuen
mine	freundin
fund	fonds
whatever	egal
engage	engagieren
understand	verstehe
representative	vertreterin
systematic	systematische
demand	nachfrage
receive	empfangen
towns	städten
presented	vorgestellt
developments	entwicklungen
plants	pflanzen
georgia	georgien
utmost	größter
look	look
talking	reden
solid	soliden
judicial	gerichtsverfahren
reliable	zuverlässige
expanded	erweitert
elections	wahlen
healthy	gesunde
while	weile
replaced	ersetzt
smart	smart
formats	formate
fun	spaß
fleet	flotte
di	di
guide	guide
engineers	ingenieure
scheduled	geplant
larger	größeres
portugal	portugal
voters	wähler
backing	unterstützung
wherever	wohin
von	johann
binding	verbindliche
rio	rio
itself	selbst
skype	skype
ready	bereit
limit	begrenzen
leaving	verlässt
examine	untersuchen
gone	gegangen
cuisine	cuisine
italy	italien
earn	verdienen
grant	gewähren
characterised	gekennzeichnet
belong	angehören
textile	textilien
rules	regeln
delicious	köstliche
complaints	beschwerden
virtually	praktisch
widely	verbreiteten
peoples	völkern
9	9
products	erzeugnissen
advise	raten
composition	zusammensetzung
danish	dänische
higher	höheren
development	entwicklung
used	verwendet
temporary	vorübergehend
paths	wanderwege
keys	tasten
comprehensive	umfassendes
gallery	gallery
negotiate	verhandeln
flows	fließt
holidays	ferien
moment	moment
levels	ebenen
arrived	angekommen
purpose	zweck
necessity	notwendigkeit
robust	soliden
brussels	brüssel
residents	bewohner
recent	jüngsten
early	frühen
lower	niedrigere
task	aufgabe
bonds	anleihen
database	datenbank
navigation	navigation
poland	polen
spent	ausgegeben
county	kreis
obviously	offensichtlich
sports	sportarten
person	person
edge	rande
machinery	maschinen
withdraw	zurückzuziehen
consistency	kohärenz
swiss	swiss
organization	welthandelsorganisation
meanwhile	zwischenzeit
spend	ausgeben
prevention	prävention
things	dinge
responsible	verantwortungsvolle
slowly	langsam
desk	schreibtisch
networks	netzwerke
competitive	wettbewerbsfähig
isolated	isoliert
risks	risiken
press	presse
shape	gestalt
oral	mündliche
questions	anfragen
unesco	unesco
useful	nützliche
alternative	alternative
northern	nördlichen
continent	kontinent
unto	sprach
addresses	adressen
wage	löhne
tables	tabellen
emerging	schwellenländer
cut	kürzen
helping	helfen
waste	abfällen
cup	cup
informal	informellen
workers	arbeitnehmern
guaranteed	garantiert
international	internationalen
exclusively	exklusiv
innovations	innovationen
source	source
internal	internen
parents	eltern
exhibition	ausstellung
tabled	eingereicht
presidents	präsidenten
input	eingabe
violations	verletzungen
guarantees	garantien
administrative	administrativen
transformation	umwandlung
surprised	überrascht
chairman	vorsitzenden
associations	verbände
customers	kunden
australia	australien
victims	opfern
amended	geänderten
lacking	mangelt
format	format
evaluate	bewerten
couple	paar
unlimited	uneingeschränkte
judgement	urteil
matters	angelegenheiten
game	spiels
marked	markiert
bit	bisschen
sustainable	nachhaltigen
projects	projekte
formal	offizielle
summit	gipfels
websites	websites
imposed	verhängt
d	d
follows	folgt
pillar	säule
decisionmaking	entscheidungsfindung
austria	österreich
ignore	ignorieren
collect	sammeln
individuals	einzelpersonen
unstable	instabilität
popular	beliebte
stylish	stilvolle
collective	kollektiven
google	google
methods	methoden
course	kurs
absolutely	absolut
obliged	verpflichtet
