chromatically 	 chromatisch
curved-in 	 gekrümmt
-3-quinolone- 	 -3-quinolon
acryloyloxybutyl 	 acryloyloxybutyl
vip-vasoactive 	 vip-vasoaktiv
inflamm.disease 	 entz.krankheit
53948 	 53948
fluid-in 	 eingeflossen
triphenylmethyl-tetrazol-5-yl 	 triphenylmethyl-tetrazol-5-yl
at-ps 	 at-ps
1,8-dihydroxyanthraquinone 	 1,8-dihydroxyanthraquinon
2b12 	 2b12
2-chloro-6-fluorobenzoyl 	 2-cholo-6-fluorobenzoyl
d760 	 d760
frovatriptan 	 frovatriptan
lateral-anterior 	 lateral-anterior
ethyleneimines 	 ethyleneimine
cmtg 	 cmtg
558-559 	 558-559
env-k1 	 env-k1
93081901 	 93081901
reprezentanţ 	 reprezentant
hispidum 	 hispidum
ps-3.12 	 ps-3.12
tamarii 	 tamarii
4-bromo-2-fluoroanilino 	 4-bromo-2-fluoroanilin
prostatomegaly 	 prostatomegaly
heteroaralkoxycarbonyl 	 heteroaralkoxycarbonyl
arabicum 	 arabicum
nasa 	 nasa
polyurethane-containing 	 polyurethanhaltig
4-amino-n-but-1-ylamino 	 4-amino-n-but-1-ylamino
dinophyceae 	 dinophyceae
-dioxane 	 -dioxan
ala6 	 ala6
mevalonolactones 	 mevalonolacton
cardc 	 cardc
3-amino-1-fluorocyclobutan-3-yl 	 3-amino-1-fluorocyclobutan-3-yl
1-ethyl-propylamino 	 1-ethyl-propylamino
2-diphenylmethoxy-n 	 2-diphenylmethoxy-n
intra-epidermal 	 intraepidermal
vetaflavin 	 vetaflavin
9α-difluoro-11β-hydroxy-17β- 	 9α-difluoro-11β-hydroxy-17β-
5,821,337 	 5.821.337
oryzins 	 oryzine
y-step 	 y-schritt
bullosas 	 bullosas
iotn 	 iotn
postcholedochoduodenostomy 	 postcholedochoduodenostomie
-docosanol 	 -docosanol
cd72 	 cd72
powder-filled 	 pulvergefüllt
5-acetamido-2,3,4,5-tetradeoxy-4-guanidino-d-glycero-d-galacto-non-2-enopyranosoate 	 5-acetamido-2,3,4,5-tetradeoxy-4-guanidino-d-glycero-d-galacto-non-2-enopyranosoat
131,132 	 131.132
ribulose-1,5-bisphosphate 	 ribulose-1,5-bisphosphat
percu 	 percu
non-significantly 	 unsignifikant
c.63 	 c.63
cyclohept 	 zyklohept
hook-in 	 einhängevorrichtung
-2,3,4,5-tetrahydro-4-methyl-3-oxo-1h-1,4-benzodiazepine-2-acetic 	 -2,3,4,5-tetrahydro-4-methyl-3-oxo-1h-1,4-benzodiazepine-2-acetic
l-specific 	 l-spezifisch
1,2,3-trihydroxypropane 	 1,2,3-trihydroxypropan
time-gates 	 zeitschranke
aaa-abdominal 	 aaa-abdominal
pre-disposed 	 prädisponiert
f23 	 f23
appparatus 	 appparatus
95-101 	 95-101
articulation-side 	 artikulationsseite
-tri-o-acetyl 	 -tri-o-acetyl
1,3-propanedione 	 1,3-propandion
congen.skin 	 angeb.haut
2-methyl-1-piperidinyl 	 2-methyl-1-piperidinyl
arxula 	 arxula
interosseus 	 interosseus
dorofe 	 dorofe
lsr 	 lsr
gr4k-delta 	 gr4k-delta
2x56 	 2x56
3009 	 3009
hensen 	 hensen
pseudoexfoliat 	 pseudoexfoliat
anicteric 	 anikterisch
co-lower 	 co-lower
-6,11-dihydro-5h-benzo 	 -6,11-dihydro-5h-benzo
-7.5 	 -7,5
2-hexyl-4- 	 2-hexyl-4-
saururaceae 	 saururazäa
nonobstetric 	 nichtobstetrisch
tetrasulfated 	 tetrasulfiert
exercise. 	 übung.
dbcamp 	 dbcamp
interstit.cystitis 	 interstit.cystitis
d-3-hydroxybutyrate 	 d-3-hydroxybutyrat
pdyqpatvag 	 pdyqpatvag
fabs-ms 	 fabs-ms
palpations 	 palpationen
31.12.2001 	 31.12.2001
-cyclohexylmethylenedioxy-11β 	 -cyclohexylmethylenedioxy-11β
gamboge 	 gummigutta
17rb 	 17rb
multi-phasic 	 multiphasisch
11-2 	 11-2
3-dimethylaminobenzoyl 	 3-dimethylaminobenzoyl
deform.-limb 	 deform.-extremität
poola 	 poola
throttles 	 drosseln
1522 	 1522
oxyacetylamino 	 oxyacetylamino
aldrin 	 aldrin
2-chloroethanol 	 2-chloroethanol
genova 	 genua
25.2.2002 	 25.2.2002
0,30 	 0.30
hb9847 	 hb9847
pipacycline 	 pipazyklin
n-lithocholyl-γ-glutamyl 	 n-lithocholyl-y-glutamyl
pyrrolidin 	 pyrrolidin
non-adhesively 	 nichtklebend
.α 	 .α
2-acrylamido-2,6-dimethyl-3-heptanesulfonic 	 2-acrylamido-2,6-dimethyl-3-heptanesulfonisch
isomeprobamate 	 isomeprobamat
-azepin-3-yl 	 -azepin-3-yl
2kg 	 2kg
limk1 	 limkl
circulin 	 zirkulin
anserina 	 anserina
cylindrically-powered 	 zylindrisch-angetrieben
trichloroisocyanuric 	 trichloroisocyanuric
camassia 	 camassia
tanδ 	 tanδ
npeoc 	 npeoc
rorqual 	 finnwal
voltaic 	 voltaisch
08013 	 08013
agbr 	 agbr
external-use 	 außenanwendung
cycloxygenase 	 zykloxygenase
anthracycline-resistant 	 anthrazyklin-resistent
tecoflex 	 tecoflex
radionucleide 	 raionukleid
abortigenic 	 abortigenisch
aminolaevulinate 	 aminolaevulinat
ps123d1 	 ps123d1
inducable 	 induzierbar
introductions 	 einführungen
quinoline-2-carboxylic 	 quinolin-2-carboxylisch
septata 	 septata
tetradentate 	 tetradentat
5-alpha-dihydroprogesterone 	 5-alpha-dihydroprogesteron
habenulae 	 habenulae
pericardit 	 perikardisch
cyanurate 	 cyanurat
d-20354 	 d-20354
coulter 	 coulter
protein-farnesyltransferase 	 protein-farnesyltransferase
h1-hela 	 h1-hela
diversum 	 diversum
tlr8 	 tlr8
more. 	 mehr.
tissue-specificity 	 gewebespezifität
bauhinia 	 bauhinia
voneinander 	 voneinander
composted 	 kompostiert
vicking 	 ausweichend
reclassified 	 umklassifiziert
wye 	 wye
permalonylates 	 permalonylate
thom 	 thom
3.4.21.68 	 3.4.21.68
hexahydro- 	 hexahydro-
mappet 	 mappet
diisopropylacrylamide 	 diisopropylacrylamid
20047 	 20047
phenylglycine-β-lactam 	 phenylglyzin-β-laktam
bscl1 	 bscl1
myelographies 	 myelografien
foreleg 	 vorderbein
liquid-carrying 	 flüssigkeitshaltig
640.89 	 640,89
spcifd 	 spcifd
2-mercaptoethoxy 	 2-mercaptoethoxy
procyanidins 	 procyanidine
type-t 	 typ-t
congenit.syph. 	 angeb.syph.
non-radial 	 nichtradial
tetrachloro- 	 tetrachloro-
phenylamines 	 phenylamine
hexahydrofuro 	 hexahydrofuro
-7,8-dihydro-6h-indeno 	 -7,8-dihydro-6h-indeno
composition-dispensing 	 kompositionsausgabe
centaurium 	 centaurium
outer-end 	 äußeres-ende
suprachoroidal 	 suprachoroidal
5-imino-13-deoxy 	 5-imino-13-deoxy
bioadmittance 	 bioadmittanz
m-4 	 m-4
muscarus 	 muscarus
antiosteoporosis 	 antiosteoporose
pomr 	 pomr
methylhydroxyethyl 	 methylhydroxyethyl
pelicula 	 pelicula
cross-feeding 	 querfütterung
pronuc 	 pronuc
agonist-induced 	 agonistinduziert
-3,4-dicyanopyrazole 	 -3,4-dicyanopyrazol
f-glycoprotein 	 f-glycoprotein
malleol 	 malleol
7350 	 7350
trimethylhexamethylenediisocyanate 	 trimethylhexamethylenediisozyanat
melt-bonding 	 schmelzverbindung
nori 	 nori
endoesophageal 	 endoesophageal
palpating 	 abtastend
colimycin 	 colimycin
photo-curing 	 lichthärtung
cocoamphocarboxyglycinate 	 cocoamphocarboxyglyzinat
picker 	 pflücker
antiprotozoic 	 antiprotozoisch
mcns-minimal 	 mcns-minimal
megalencephalies 	 megalencephalien
tongs-like 	 zangenartig
psoriases 	 psoriasen
prehydrolysis 	 prehydrolyse
achromia 	 achromia
gp135 	 gp135
significative 	 bedeutungsvoll
gabg 	 gabg
dilignoceroylphatidylcholine 	 dilignoceroylphatidylcholin
1827 	 1827
unsatisfied 	 unbefriedigt
figur 	 figur
h-active 	 h-aktiv
thiophenesulfonamide 	 thiophenesulfonamid
backer 	 unterstützer
16,18,74,76 	 16,18,74,76
neville-barnes 	 neville-barnes
loss-preventing 	 verlustverhütend
1-3c-alkyl 	 1-3c-alkyl
gg2 	 gg2
36. 	 36.
collates 	 zusammenfassungen
1,4-di- 	 1,4-di-
enterocoeles 	 enterocoeles
thr-trna 	 thr-trna
ljungdahlii 	 ljungdahlii
bp-7080 	 bp-7080
scleroglycan 	 skleroglykan
gigkplhsak 	 gigkplhsak
mgc9721 	 mgc9721
tamura 	 tamura
bouffee 	 bouffee
phascolarctos 	 phascolarctos
tetrahydropyrrolizin-7a-yl 	 tetrahydropyrrolizin-7a-yl
1,846 	 1.846
benzocyclobutan-1-yl 	 benzozyklobutan-1-yl
flo 	 flo
nandrolene 	 nandrolen
13-1 	 13-1
iressa 	 iressa
graz 	 graz
laspartomycin 	 laspartomyzin
pks3 	 pks3
proventriculitis 	 proventrikulitis
-36 	 -36
benzylsulfinyl 	 benzylsulfinyl
maltotetraitol 	 maltotetraitol
62882 	 62882
absnc 	 absnc
-d-galactose 	 -d-galactose
sporoderm-broken 	 sporodermbrüchig
-2-hydroxy-n-octylacetic 	 -2-hydroxy-n-octylazetisch
-halocoformycin 	 -halocoformyzin
release-coated 	 freisetzungsbeschichtet
licocalchone 	 licocalchon
gonzalo 	 gonzalo
electroblotting 	 westernblot
illiac 	 illiac
trimethyl-hexane-1,6-diisocyanate 	 trimethyl-hexan-1,6-diisozyanat
90-130 	 90-130
livebirth 	 lebendgeburt
1α-hydroxy-vitamin 	 1α-hydroxy-vitamin
n4830 	 n4830
0-53 	 0-53
2,5-furandiones 	 2,5-furandione
beral 	 beral
ko11 	 koll
-l-leucinamide 	 -l-leuzinamid
6-desaturases 	 6-desaturasen
purgation 	 reinigung
odontophobias 	 odontophobien
alpha6b 	 alpha6b
synergising 	 synergetisch
n-benzyl-n-methylcarbamoyl 	 n-benzyl-n-methylcarbamoyl
α-d-maltosyl 	 α-d-maltosyl
hoagii 	 hoagii
p62c 	 p62c
prkr 	 prkr
self-cure 	 selbstheilung
2,5-dichlorophenyl 	 2,5-dichlorophenyl
